Wall time,Step,Value
1572281845.0837119,0,0.15000000596046448
1572281845.4627829,5,0.3400000035762787
1572281845.6604667,10,0.47999998927116394
1572281845.8547106,15,0.5400000214576721
1572281846.0572238,20,0.7400000095367432
1572281846.2497742,25,0.7099999785423279
1572281846.4491956,30,0.8999999761581421
1572281846.647611,35,0.8999999761581421
1572281846.8419633,40,0.8999999761581421
1572281847.045055,45,0.8100000023841858
1572281847.2331517,50,0.8799999952316284
1572281847.4296749,55,0.8799999952316284
1572281847.6238663,60,0.8500000238418579
1572281847.8252816,65,0.8799999952316284
1572281848.0325103,70,0.9200000166893005
1572281848.2124174,75,0.8999999761581421
1572281848.4209044,80,0.8999999761581421
1572281848.6172962,85,0.9399999976158142
1572281848.8193047,90,0.9200000166893005
1572281849.0170875,95,0.949999988079071
1572281849.2123923,100,0.8899999856948853
1572281849.4291801,105,0.9300000071525574
1572281849.630706,110,0.9399999976158142
1572281849.8319128,115,0.9200000166893005
1572281850.0370195,120,0.9200000166893005
1572281850.2196705,125,0.9200000166893005
1572281850.41917,130,0.9100000262260437
1572281850.6214035,135,0.9200000166893005
1572281850.8202503,140,0.9399999976158142
1572281851.020474,145,0.9300000071525574
1572281851.207105,150,0.9100000262260437
1572281851.4030926,155,0.8899999856948853
1572281851.5977173,160,0.9800000190734863
1572281851.7923205,165,0.9200000166893005
1572281851.9830787,170,0.8899999856948853
1572281852.197967,175,0.9100000262260437
1572281852.4003553,180,0.8899999856948853
1572281852.5943427,185,0.9399999976158142
1572281852.788794,190,0.949999988079071
1572281852.9805694,195,0.9300000071525574
1572281853.1828187,200,0.949999988079071
1572281853.3849292,205,0.9100000262260437
1572281853.588253,210,0.949999988079071
1572281853.7827523,215,0.9399999976158142
1572281853.9778328,220,0.9399999976158142
1572281854.1853065,225,0.9100000262260437
1572281854.3843942,230,0.949999988079071
1572281854.5844967,235,0.9399999976158142
1572281854.7805734,240,0.9800000190734863
1572281854.975572,245,0.9399999976158142
1572281855.1886,250,0.9599999785423279
1572281855.382224,255,0.9599999785423279
